jobid,status,sendvgetime,bulkjob_id,finish_time,start_time,worker,return_code,filename,elapsed_time,genomon_pid,max_task,command_id,unique_jobid,sendtoworker
0,done,2016-09-28 14:32:37.582677,0,2016-09-28 14:32:47.116364,2016-09-28 14:32:39.990573,23,0,bam2fastq_20160928_1432_359351.sh.0,7.125791,4849,0,0,0,True
1,done,2016-09-28 14:32:37.774185,0,2016-09-28 14:32:47.276688,2016-09-28 14:32:40.015883,1,0,bam2fastq_20160928_1432_674668.sh.0,7.260805,4850,0,1,1,True
2,done,2016-09-28 14:33:23.562832,0,2016-09-28 14:33:25.387758,2016-09-28 14:33:23.620142,23,0,fastq_splitter_20160928_1433_465924.sh.0,1.767616,4893,2,2,2,True
3,done,2016-09-28 14:33:23.562832,1,2016-09-28 14:33:25.380255,2016-09-28 14:33:23.625615,1,0,fastq_splitter_20160928_1433_465924.sh.1,1.75464,4893,2,2,2,True
4,done,2016-09-28 14:33:23.655072,0,2016-09-28 14:33:26.332354,2016-09-28 14:33:23.708916,4,0,fastq_splitter_20160928_1433_560983.sh.0,2.623438,4905,2,3,3,True
5,done,2016-09-28 14:33:23.655072,1,2016-09-28 14:33:26.335269,2016-09-28 14:33:23.728966,5,0,fastq_splitter_20160928_1433_560983.sh.1,2.606303,4905,2,3,3,True
6,done,2016-09-28 14:34:06.827675,0,2016-09-28 14:34:43.642843,2016-09-28 14:34:06.852056,23,0,bwa_align_20160928_1434_658064.sh.0,36.790787,4906,1,4,4,True
7,done,2016-09-28 14:34:06.831159,0,2016-09-28 14:34:46.234932,2016-09-28 14:34:06.855206,1,0,bwa_align_20160928_1434_680658.sh.0,39.379726,4869,1,5,5,True
8,done,2016-09-28 14:35:07.677061,0,2016-09-28 14:35:19.644665,2016-09-28 14:35:07.691873,23,0,markduplicates_20160928_1435_503593.sh.0,11.952792,4936,0,6,6,True
9,done,2016-09-28 14:35:07.678220,0,2016-09-28 14:35:19.930278,2016-09-28 14:35:07.707224,1,0,markduplicates_20160928_1435_538941.sh.0,12.223054,4886,0,7,7,True
10,done,2016-09-28 14:35:49.727426,0,2016-09-28 14:37:02.305300,2016-09-28 14:35:49.768604,23,0,mutation_call_20160928_1435_616311.sh.0,72.536696,4888,30,8,8,True
11,done,2016-09-28 14:35:49.727426,1,2016-09-28 14:37:02.312062,2016-09-28 14:35:49.786993,1,0,mutation_call_20160928_1435_616311.sh.1,72.525069,4888,30,8,8,True
12,done,2016-09-28 14:35:49.727426,2,2016-09-28 14:36:56.515175,2016-09-28 14:35:50.237245,2,0,mutation_call_20160928_1435_616311.sh.2,66.27793,4888,30,8,8,True
13,done,2016-09-28 14:35:49.727426,3,2016-09-28 14:37:00.746943,2016-09-28 14:35:50.267096,3,0,mutation_call_20160928_1435_616311.sh.3,70.479847,4888,30,8,8,True
14,done,2016-09-28 14:35:49.727426,4,2016-09-28 14:36:57.052492,2016-09-28 14:35:50.290343,4,0,mutation_call_20160928_1435_616311.sh.4,66.762149,4888,30,8,8,True
15,done,2016-09-28 14:35:49.727426,5,2016-09-28 14:36:55.303915,2016-09-28 14:35:50.310295,5,0,mutation_call_20160928_1435_616311.sh.5,64.99362,4888,30,8,8,True
16,done,2016-09-28 14:35:49.727426,6,2016-09-28 14:36:58.766479,2016-09-28 14:35:50.330273,6,0,mutation_call_20160928_1435_616311.sh.6,68.436206,4888,30,8,8,True
17,done,2016-09-28 14:35:49.727426,7,2016-09-28 14:36:58.755764,2016-09-28 14:35:50.350292,7,0,mutation_call_20160928_1435_616311.sh.7,68.405472,4888,30,8,8,True
18,done,2016-09-28 14:35:49.727426,8,2016-09-28 14:36:55.381326,2016-09-28 14:35:50.367117,8,0,mutation_call_20160928_1435_616311.sh.8,65.014209,4888,30,8,8,True
19,done,2016-09-28 14:35:49.727426,9,2016-09-28 14:36:53.053118,2016-09-28 14:35:50.377153,9,0,mutation_call_20160928_1435_616311.sh.9,62.675965,4888,30,8,8,True
20,done,2016-09-28 14:35:49.727426,10,2016-09-28 14:36:55.173875,2016-09-28 14:35:50.397182,10,0,mutation_call_20160928_1435_616311.sh.10,64.776693,4888,30,8,8,True
21,done,2016-09-28 14:35:49.727426,11,2016-09-28 14:36:52.883106,2016-09-28 14:35:50.417196,11,0,mutation_call_20160928_1435_616311.sh.11,62.46591,4888,30,8,8,True
22,done,2016-09-28 14:35:49.727426,12,2016-09-28 14:36:52.754721,2016-09-28 14:35:50.437212,12,0,mutation_call_20160928_1435_616311.sh.12,62.317509,4888,30,8,8,True
23,done,2016-09-28 14:35:49.727426,13,2016-09-28 14:36:52.760055,2016-09-28 14:35:50.457202,13,0,mutation_call_20160928_1435_616311.sh.13,62.302853,4888,30,8,8,True
24,done,2016-09-28 14:35:49.727426,14,2016-09-28 14:36:50.627632,2016-09-28 14:35:50.477156,14,0,mutation_call_20160928_1435_616311.sh.14,60.150476,4888,30,8,8,True
25,done,2016-09-28 14:35:49.727426,15,2016-09-28 14:38:08.245293,2016-09-28 14:35:50.506915,15,0,mutation_call_20160928_1435_616311.sh.15,137.738378,4888,30,8,8,True
26,done,2016-09-28 14:35:49.727426,16,2016-09-28 14:36:55.200933,2016-09-28 14:35:50.530229,16,0,mutation_call_20160928_1435_616311.sh.16,64.670704,4888,30,8,8,True
27,done,2016-09-28 14:35:49.727426,17,2016-09-28 14:36:53.268998,2016-09-28 14:35:50.550174,17,0,mutation_call_20160928_1435_616311.sh.17,62.718824,4888,30,8,8,True
28,done,2016-09-28 14:35:49.727426,18,2016-09-28 14:36:51.507036,2016-09-28 14:35:50.570173,18,0,mutation_call_20160928_1435_616311.sh.18,60.936863,4888,30,8,8,True
29,done,2016-09-28 14:35:49.727426,19,2016-09-28 14:36:50.635892,2016-09-28 14:35:50.590236,19,0,mutation_call_20160928_1435_616311.sh.19,60.045656,4888,30,8,8,True
30,done,2016-09-28 14:35:49.727426,20,2016-09-28 14:36:50.761521,2016-09-28 14:35:50.607028,20,0,mutation_call_20160928_1435_616311.sh.20,60.154493,4888,30,8,8,True
31,done,2016-09-28 14:35:49.727426,21,2016-09-28 14:36:49.108331,2016-09-28 14:35:50.617169,21,0,mutation_call_20160928_1435_616311.sh.21,58.491162,4888,30,8,8,True
32,done,2016-09-28 14:35:49.727426,22,2016-09-28 14:36:49.819572,2016-09-28 14:35:50.637182,22,0,mutation_call_20160928_1435_616311.sh.22,59.18239,4888,30,8,8,True
33,done,2016-09-28 14:35:49.727426,23,2016-09-28 14:37:41.364205,2016-09-28 14:36:49.156939,21,0,mutation_call_20160928_1435_616311.sh.23,52.207266,4888,30,8,8,True
34,done,2016-09-28 14:35:49.727426,24,2016-09-28 14:37:42.994173,2016-09-28 14:36:49.857440,22,0,mutation_call_20160928_1435_616311.sh.24,53.136733,4888,30,8,8,True
35,done,2016-09-28 14:35:49.727426,25,2016-09-28 14:37:43.287651,2016-09-28 14:36:50.679907,19,0,mutation_call_20160928_1435_616311.sh.25,52.607744,4888,30,8,8,True
36,done,2016-09-28 14:35:49.727426,26,2016-09-28 14:37:43.611717,2016-09-28 14:36:50.676832,14,0,mutation_call_20160928_1435_616311.sh.26,52.934885,4888,30,8,8,True
37,done,2016-09-28 14:35:49.727426,27,2016-09-28 14:37:46.574489,2016-09-28 14:36:50.806670,20,0,mutation_call_20160928_1435_616311.sh.27,55.767819,4888,30,8,8,True
38,done,2016-09-28 14:35:49.727426,28,2016-09-28 14:37:45.827407,2016-09-28 14:36:51.549852,18,0,mutation_call_20160928_1435_616311.sh.28,54.277555,4888,30,8,8,True
39,done,2016-09-28 14:35:49.727426,29,2016-09-28 14:37:42.998226,2016-09-28 14:36:52.846900,12,0,mutation_call_20160928_1435_616311.sh.29,50.151326,4888,30,8,8,True
40,done,2016-09-28 14:35:49.866786,0,2016-09-28 14:37:45.801456,2016-09-28 14:36:52.876785,13,0,sv_parse_20160928_1435_747929.sh.0,52.924671,4862,0,9,9,True
41,done,2016-09-28 14:35:50.012437,0,2016-09-28 14:37:46.286868,2016-09-28 14:36:52.926812,11,0,sv_parse_20160928_1435_878175.sh.0,53.360056,4892,0,10,10,True
42,done,2016-09-28 14:35:50.259771,0,2016-09-28 14:37:46.285236,2016-09-28 14:36:53.096737,9,0,sv_parse_20160928_1435_905436.sh.0,53.188499,4898,0,11,11,True
43,done,2016-09-28 14:35:50.260854,0,2016-09-28 14:37:47.394238,2016-09-28 14:36:53.329770,17,0,sv_parse_20160928_1435_949615.sh.0,54.064468,4940,0,12,12,True
44,done,2016-09-28 14:35:50.262522,0,2016-09-28 14:37:47.377557,2016-09-28 14:36:55.218229,10,0,sv_parse_20160928_1435_982053.sh.0,52.159328,4913,0,13,13,True
45,done,2016-09-28 14:35:51.157061,0,2016-09-28 14:37:47.392815,2016-09-28 14:36:55.249819,16,0,sv_parse_20160928_1435_032719.sh.0,52.142996,4900,0,14,14,True
46,done,2016-09-28 14:35:51.876631,0,2016-09-28 14:37:47.392483,2016-09-28 14:36:55.399815,5,0,sv_parse_20160928_1435_037102.sh.0,51.992668,4926,0,15,15,True
47,done,2016-09-28 14:35:51.876072,0,2016-09-28 14:37:47.391443,2016-09-28 14:36:55.426707,8,0,sv_parse_20160928_1435_269105.sh.0,51.964736,4942,0,16,16,True
48,done,2016-09-28 14:35:51.884956,0,2016-09-28 14:37:48.124657,2016-09-28 14:36:56.566772,2,0,sv_parse_20160928_1435_272472.sh.0,51.557885,4867,0,17,17,True
49,done,2016-09-28 14:35:52.100549,0,2016-09-28 14:37:48.142605,2016-09-28 14:36:57.089801,4,0,sv_parse_20160928_1435_165816.sh.0,51.052804,4868,0,18,18,True
50,done,2016-09-28 14:35:52.100916,0,2016-09-28 14:37:48.438813,2016-09-28 14:36:58.799815,7,0,sv_parse_20160928_1435_867805.sh.0,49.638998,4859,0,19,19,True
51,done,2016-09-28 14:35:52.101383,0,2016-09-28 14:37:48.437400,2016-09-28 14:36:58.819782,6,0,sv_parse_20160928_1435_874604.sh.0,49.617618,4881,0,20,20,True
52,done,2016-09-28 14:38:13.286351,0,2016-09-28 14:38:26.498673,2016-09-28 14:38:13.307023,1,0,sv_merge_20160928_1438_030688.sh.0,13.19165,4882,0,21,21,True
53,done,2016-09-28 14:38:34.337119,0,2016-09-28 14:38:35.096452,2016-09-28 14:38:34.356778,1,0,mutation_merge_20160928_1438_243203.sh.0,0.739674,4885,0,22,22,True
54,done,2016-09-28 14:38:54.819479,0,2016-09-28 14:39:09.037379,2016-09-28 14:38:54.836882,23,0,sv_filt_20160928_1438_243797.sh.0,14.200497,4909,0,23,23,True
